@_id,@_version,cctvCameraIdentification,cctvCameraSerialNumber,cctvCameraRecordVersionTime,cctvCameraType,cctvCameraLocation/@_type,cctvStillImageService/stillImageUrl/urlLinkAddress,latitude,longitude,cctvCameraLocation/predefinedLocationReference/@_targetClass,cctvCameraLocation/predefinedLocationReference/@_id,cctvCameraLocation/predefinedLocationReference/@_version,cctvStillImageService/cctvStillImageServiceLevel,cctvStillImageService/cctvStillImageFormat,Location,cctvCameraHeightAboveRoadway,cctvCameraSiteLocalDescription/values/value
,,A-2  (Km. 445) Soses,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc62.jpg,,,,,,,,Soses,,
,,"A-2 (Km. 456,73) Lleida",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc63.jpg,,,,,,,, Lleida,,
,,"A-2 (Km. 534,50) Montmaneu ",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc61.jpg,,,,,,,, Montmaneu ,,
,,"A-2  (Km. 560,58 ) Castellolí",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc60.jpg,,,,,,,,Castellolí,,
,,"A-2 (Km. 606,09) Sant Joan Despí",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc59.jpg,,,,,,,,Sant Joan Despí,,
,,"A-2 (Km. 608,13) Sant Joan Despí	",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc58.jpg,,,,,,,, Sant Joan Despí ,,
,,"AP-7 (Km. 146,50) Barberà del Vallès",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc78.jpg,,,,,,,,Barberà del Vallès,,
,,AP-7 (Km. 154) Sant Cugat,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc80.jpg,,,,,,,,Sant Cugat,,
,,"B-20 (Km. 0,83) Sant Boi",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc65.jpg,,,,,,,,Sant Boi,,
,,"B-20 (Km. 1,65) El Prat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc64.jpg,,,,,,,,El Prat,,
,,B-20 (Km. 20) Badalona Montigalà,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc81.jpg,,,,,,,,Badalona Montigalà,,
,,"B-20 (Km. 21,2) Badalona",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc64.jpg,,,,,,,,Badalona,,
,,"B-20 (Km. 24,65) Montgat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc67.jpg,,,,,,,,Montgat,,
,,B-23 (Km. 0) Barcelona,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc29.jpg,,,,,,,,Barcelona,,
,,"B-23 (Km. 3,11) Sant Just Desvern",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc33.jpg,,,,,,,,Sant Just Desvern,,
,,"B-23 (Km. 6,14) Enllaç A-2 ",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc67.jpg,,,,,,,, Enllaç A-2 ,,
,,"B-23 (Km. 7,38) Sant Feliu de Llobregat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc37.jpg,,,,,,,,Sant Feliu de Llobregat,,
,,"B-23 (Km. 11,10) Sant Vicenç dels Horts",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc40.jpg,,,,,,,,Sant Vicenç dels Horts,,
,,"B-23 (Km. 13,57) Papiol",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc43.jpg,,,,,,,,Papiol,,
,,"B-23 (Km. 15,20) Papiol ",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc44.jpg,,,,,,,, Papiol,,
,,"C-16 (Km. 4,76) Vallvidrera ",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=rc1.jpg,,,,,,,,Vallvidrera ,,
,,"C-16 (Km. 14,85) Rubí",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=rc2.jpg,,,,,,,, Rubí,,
,,"C-16 (Km. 22,35) Terrassa",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=rc3.jpg,,,,,,,,Terrassa,,
,,"C-31 (Km. 182,65) Castelldefels",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc18.jpg,,,,,,,,Castelldefels,,
,,"C-31 (Km. 188,94) Viladecans",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc12.jpg,,,,,,,,Viladecans,,
,,"C-31 (Km. 192,18) Aeroport",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc70.jpg,,,,,,,,Aeroport,,
,,"C-31 (Km. 196,93) Bellvitge",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc74.jpg,,,,,,,,Bellvitge,,
,,"C-31 (Km. 209,13) Sant Adrià de Besòs",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc2.jpg,,,,,,,,Sant Adrià de Besòs,,
,,"C-31 (Km. 210,15) Badalona",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc3.jpg,,,,,,,, Badalona,,
,,"C-31 (Km. 211,64) Badalona Centre",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc82.jpg,,,,,,,,Badalona Centre,,
,,"C-31 (Km. 215,81) Montgat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc8.jpg,,,,,,,,Montgat,,
,,"C-31( Km.  310,00) Santa Cristina d'Aro",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb14.jpg,,,,,,,, Santa Cristina d'Aro,,
,,"C-31 (Km. 312,00) Castell d'Aro",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb15.jpg,,,,,,,,Castell d'Aro,,
,,"C-31 (Km. 316,50) Castell d'Aro",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb17.jpg,,,,,,,,Castell d'Aro,,
,,"C-31 (Km. 327,00) Palamós ",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb20.jpg,,,,,,,,Palamós ,,
,,"C-32 (Km. 50,37) Gavà",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc72.jpg,,,,,,,, Gavà,,
,,"C-32 (Km.  54,30) Sant Boi Centre",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc71.jpg,,,,,,,, Sant Boi Centre,,
,,"C-32 (Km. 85,05) Alella",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc10.jpg,,,,,,,,Alella,,
,,"C-35 (Km.  84,00) Maçanet de la Selva",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb1.jpg,,,,,,,,Maçanet de la Selva,,
,,"C-35 (Km. 91,50) Caldes de Malavella",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb4.jpg,,,,,,,, Caldes de Malavell,,
,,"C-35(Km. 94,70) Llagostera",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb5.jpg,,,,,,,,Llagostera,,
,,C-35 (Km. 96.50) Llagostera,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb6.jpg,,,,,,,,Llagostera,,
,,"C-58 (Km. 0,50) Nus de Trinitat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc87.jpg,,,,,,,,Nus de Trinitat,,
,,"C-58 (Km. 1,82) Montcada i Reixac",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc85.jpg,,,,,,,,Montcada i Reixac,,
,,"C-58 (Km.  6,15) Ripollet",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc89.jpg,,,,,,,, Ripollet,,
,,"C-58 (Km. 7,08) Barberà del Vallès",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc15.jpg,,,,,,,,Barberà del Vallès,,
,,"C-58 (Km. 15,24) Sabadell",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc20.jpg,,,,,,,, Sabadell,,
,,"C-58 (Km. 17,73) Terrassa",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc28.jpg,,,,,,,,Terrassa,,
,,"C-65 (Km. 5,40) Santa Cristina d'Aro",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb13.jpg,,,,,,,,Santa Cristina d'Aro,,
,,C-65 (Km. 12) Llagostera,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb11.jpg,,,,,,,,Llagostera,,
,,C-65 (Km. 17) Cassà de la Selva,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb10.jpg,,,,,,,,Cassà de la Selva,,
,,"C-66 (Km. 5,30) Forallac",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb24.jpg,,,,,,,, Forallac,,
,,"C-66 (Km. 7,50) La Bisbal d'Empordà",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb25.jpg,,,,,,,,La Bisbal d'Empordà,,
,,N-340 (Km. 1072) Sant Carles de la Ràpita,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd19.jpg,,,,,,,,Sant Carles de la Ràpita,,
,,"N-340 (Km. 1099,20) L'Ampolla",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd17.jpg,,,,,,,,L'Ampolla,,
,,N-340 (Km. 1130) Miami Platja,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd14.jpg,,,,,,,, Miami Platj,,
,,T-11 (Km. 0) Tarragona,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd1.jpg,,,,,,,,Tarragona,,
